,Edition,Year,Points type,From,To,Points
59,turin-2022,2022,Points given by televoters,serbia,ukraine,7
60,turin-2022,2022,Points given by televoters,slovenia,ukraine,10
61,turin-2022,2022,Points given by televoters,spain,ukraine,12
62,turin-2022,2022,Points given by televoters,sweden,ukraine,12
63,turin-2022,2022,Points given by televoters,switzerland,ukraine,10
64,turin-2022,2022,Points given by televoters,united kingdom,ukraine,12
65,turin-2022,2022,Points given by the jury,albania,united kingdom,10
66,turin-2022,2022,Points given by the jury,austria,united kingdom,12
67,turin-2022,2022,Points given by the jury,azerbaijan,united kingdom,12
68,turin-2022,2022,Points given by the jury,belgium,united kingdom,12
69,turin-2022,2022,Points given by the jury,bulgaria,united kingdom,10
70,turin-2022,2022,Points given by the jury,cyprus,united kingdom,3
71,turin-2022,2022,Points given by the jury,czech republic,united kingdom,12
72,turin-2022,2022,Points given by the jury,denmark,united kingdom,6
73,turin-2022,2022,Points given by the jury,estonia,united kingdom,4
74,turin-2022,2022,Points given by the jury,finland,united kingdom,10
75,turin-2022,2022,Points given by the jury,france,united kingdom,12
76,turin-2022,2022,Points given by the jury,georgia,united kingdom,12
77,turin-2022,2022,Points given by the jury,germany,united kingdom,12
78,turin-2022,2022,Points given by the jury,iceland,united kingdom,7
79,turin-2022,2022,Points given by the jury,ireland,united kingdom,8
80,turin-2022,2022,Points given by the jury,israel,united kingdom,10
81,turin-2022,2022,Points given by the jury,italy,united kingdom,6
82,turin-2022,2022,Points given by the jury,latvia,united kingdom,8
83,turin-2022,2022,Points given by the jury,lithuania,united kingdom,10
84,turin-2022,2022,Points given by the jury,malta,united kingdom,8
85,turin-2022,2022,Points given by the jury,moldova,united kingdom,10
86,turin-2022,2022,Points given by the jury,montenegro,united kingdom,5
87,turin-2022,2022,Points given by the jury,the netherlands,united kingdom,4
88,turin-2022,2022,Points given by the jury,north macedonia,united kingdom,8
89,turin-2022,2022,Points given by the jury,norway,united kingdom,6
90,turin-2022,2022,Points given by the jury,poland,united kingdom,8
91,turin-2022,2022,Points given by the jury,portugal,united kingdom,10
92,turin-2022,2022,Points given by the jury,romania,united kingdom,8
93,turin-2022,2022,Points given by the jury,san marino,united kingdom,8
94,turin-2022,2022,Points given by the jury,serbia,united kingdom,1
95,turin-2022,2022,Points given by the jury,slovenia,united kingdom,2
96,turin-2022,2022,Points given by the jury,spain,united kingdom,3
97,turin-2022,2022,Points given by the jury,sweden,united kingdom,8
98,turin-2022,2022,Points given by the jury,switzerland,united kingdom,6
99,turin-2022,2022,Points given by the jury,ukraine,united kingdom,12
100,turin-2022,2022,Points given by televoters,albania,united kingdom,4
101,turin-2022,2022,Points given by televoters,armenia,united kingdom,1
102,turin-2022,2022,Points given by televoters,australia,united kingdom,7
103,turin-2022,2022,Points given by televoters,austria,united kingdom,8
104,turin-2022,2022,Points given by televoters,azerbaijan,united kingdom,8
105,turin-2022,2022,Points given by televoters,belgium,united kingdom,3
106,turin-2022,2022,Points given by televoters,bulgaria,united kingdom,3
107,turin-2022,2022,Points given by televoters,cyprus,united kingdom,6
108,turin-2022,2022,Points given by televoters,czech republic,united kingdom,2
109,turin-2022,2022,Points given by televoters,denmark,united kingdom,6
110,turin-2022,2022,Points given by televoters,estonia,united kingdom,5
111,turin-2022,2022,Points given by televoters,finland,united kingdom,4
112,turin-2022,2022,Points given by televoters,france,united kingdom,2
113,turin-2022,2022,Points given by televoters,georgia,united kingdom,4
114,turin-2022,2022,Points given by televoters,germany,united kingdom,6
115,turin-2022,2022,Points given by televoters,greece,united kingdom,5
116,turin-2022,2022,Points given by televoters,iceland,united kingdom,7
117,turin-2022,2022,Points given by televoters,ireland,united kingdom,6
118,turin-2022,2022,Points given by televoters,israel,united kingdom,10
119,turin-2022,2022,Points given by televoters,italy,united kingdom,6
120,turin-2022,2022,Points given by televoters,latvia,united kingdom,3
121,turin-2022,2022,Points given by televoters,lithuania,united kingdom,4
122,turin-2022,2022,Points given by televoters,malta,united kingdom,12
123,turin-2022,2022,Points given by televoters,moldova,united kingdom,3
124,turin-2022,2022,Points given by televoters,the netherlands,united kingdom,8
125,turin-2022,2022,Points given by televoters,norway,united kingdom,6
126,turin-2022,2022,Points given by televoters,poland,united kingdom,3
127,turin-2022,2022,Points given by televoters,portugal,united kingdom,6
128,turin-2022,2022,Points given by televoters,romania,united kingdom,3
129,turin-2022,2022,Points given by televoters,san marino,united kingdom,6
130,turin-2022,2022,Points given by televoters,spain,united kingdom,8
131,turin-2022,2022,Points given by televoters,sweden,united kingdom,6
132,turin-2022,2022,Points given by televoters,switzerland,united kingdom,5
133,turin-2022,2022,Points given by televoters,ukraine,united kingdom,7
134,turin-2022,2022,Points given by the jury,albania,spain,5
135,turin-2022,2022,Points given by the jury,armenia,spain,12
136,turin-2022,2022,Points given by the jury,australia,spain,12
137,turin-2022,2022,Points given by the jury,austria,spain,2
138,turin-2022,2022,Points given by the jury,azerbaijan,spain,5
139,turin-2022,2022,Points given by the jury,belgium,spain,10
140,turin-2022,2022,Points given by the jury,bulgaria,spain,8
141,turin-2022,2022,Points given by the jury,croatia,spain,6
142,turin-2022,2022,Points given by the jury,cyprus,spain,6
143,turin-2022,2022,Points given by the jury,czech republic,spain,7
144,turin-2022,2022,Points given by the jury,denmark,spain,4
145,turin-2022,2022,Points given by the jury,france,spain,5
146,turin-2022,2022,Points given by the jury,georgia,spain,5
147,turin-2022,2022,Points given by the jury,germany,spain,8
148,turin-2022,2022,Points given by the jury,greece,spain,5
149,turin-2022,2022,Points given by the jury,iceland,spain,3
150,turin-2022,2022,Points given by the jury,ireland,spain,12
151,turin-2022,2022,Points given by the jury,israel,spain,3
152,turin-2022,2022,Points given by the jury,lithuania,spain,5
153,turin-2022,2022,Points given by the jury,malta,spain,12
154,turin-2022,2022,Points given by the jury,moldova,spain,3
155,turin-2022,2022,Points given by the jury,montenegro,spain,8
156,turin-2022,2022,Points given by the jury,the netherlands,spain,5
157,turin-2022,2022,Points given by the jury,north macedonia,spain,12
158,turin-2022,2022,Points given by the jury,norway,spain,7
159,turin-2022,2022,Points given by the jury,poland,spain,1
160,turin-2022,2022,Points given by the jury,portugal,spain,12
161,turin-2022,2022,Points given by the jury,romania,spain,1
162,turin-2022,2022,Points given by the jury,san marino,spain,12
163,turin-2022,2022,Points given by the jury,serbia,spain,4
164,turin-2022,2022,Points given by the jury,slovenia,spain,1
165,turin-2022,2022,Points given by the jury,sweden,spain,12
166,turin-2022,2022,Points given by the jury,switzerland,spain,8
167,turin-2022,2022,Points given by the jury,united kingdom,spain,10
168,turin-2022,2022,Points given by televoters,albania,spain,7
169,turin-2022,2022,Points given by televoters,armenia,spain,8
170,turin-2022,2022,Points given by televoters,australia,spain,6
171,turin-2022,2022,Points given by televoters,austria,spain,1
172,turin-2022,2022,Points given by televoters,azerbaijan,spain,10
173,turin-2022,2022,Points given by televoters,belgium,spain,6
174,turin-2022,2022,Points given by televoters,bulgaria,spain,8
175,turin-2022,2022,Points given by televoters,croatia,spain,7
176,turin-2022,2022,Points given by televoters,cyprus,spain,8
177,turin-2022,2022,Points given by televoters,czech republic,spain,6
178,turin-2022,2022,Points given by televoters,denmark,spain,1
179,turin-2022,2022,Points given by televoters,estonia,spain,1
180,turin-2022,2022,Points given by televoters,finland,spain,3
181,turin-2022,2022,Points given by televoters,france,spain,7
182,turin-2022,2022,Points given by televoters,georgia,spain,6
183,turin-2022,2022,Points given by televoters,germany,spain,2
184,turin-2022,2022,Points given by televoters,greece,spain,12
185,turin-2022,2022,Points given by televoters,iceland,spain,3
186,turin-2022,2022,Points given by televoters,ireland,spain,5
187,turin-2022,2022,Points given by televoters,israel,spain,8
188,turin-2022,2022,Points given by televoters,latvia,spain,4
189,turin-2022,2022,Points given by televoters,lithuania,spain,6
190,turin-2022,2022,Points given by televoters,malta,spain,7
191,turin-2022,2022,Points given by televoters,moldova,spain,8
192,turin-2022,2022,Points given by televoters,montenegro,spain,8
193,turin-2022,2022,Points given by televoters,the netherlands,spain,7
194,turin-2022,2022,Points given by televoters,north macedonia,spain,10
195,turin-2022,2022,Points given by televoters,norway,spain,1
196,turin-2022,2022,Points given by televoters,poland,spain,6
197,turin-2022,2022,Points given by televoters,portugal,spain,10
198,turin-2022,2022,Points given by televoters,romania,spain,8
199,turin-2022,2022,Points given by televoters,san marino,spain,10
200,turin-2022,2022,Points given by televoters,serbia,spain,10
201,turin-2022,2022,Points given by televoters,slovenia,spain,4
202,turin-2022,2022,Points given by televoters,sweden,spain,2
203,turin-2022,2022,Points given by televoters,switzerland,spain,6
204,turin-2022,2022,Points given by televoters,ukraine,spain,1
205,turin-2022,2022,Points given by televoters,united kingdom,spain,5
206,turin-2022,2022,Points given by the jury,albania,sweden,8
207,turin-2022,2022,Points given by the jury,armenia,sweden,5
208,turin-2022,2022,Points given by the jury,australia,sweden,10
209,turin-2022,2022,Points given by the jury,austria,sweden,7
210,turin-2022,2022,Points given by the jury,azerbaijan,sweden,8
211,turin-2022,2022,Points given by the jury,belgium,sweden,7
212,turin-2022,2022,Points given by the jury,croatia,sweden,5
213,turin-2022,2022,Points given by the jury,cyprus,sweden,5
214,turin-2022,2022,Points given by the jury,czech republic,sweden,10
215,turin-2022,2022,Points given by the jury,denmark,sweden,7
216,turin-2022,2022,Points given by the jury,estonia,sweden,12
217,turin-2022,2022,Points given by the jury,finland,sweden,12
218,turin-2022,2022,Points given by the jury,georgia,sweden,8
219,turin-2022,2022,Points given by the jury,germany,sweden,7
220,turin-2022,2022,Points given by the jury,iceland,sweden,12
221,turin-2022,2022,Points given by the jury,ireland,sweden,10
222,turin-2022,2022,Points given by the jury,israel,sweden,12
223,turin-2022,2022,Points given by the jury,latvia,sweden,10
224,turin-2022,2022,Points given by the jury,lithuania,sweden,3
225,turin-2022,2022,Points given by the jury,malta,sweden,10
226,turin-2022,2022,Points given by the jury,moldova,sweden,8
227,turin-2022,2022,Points given by the jury,montenegro,sweden,7
228,turin-2022,2022,Points given by the jury,the netherlands,sweden,1
229,turin-2022,2022,Points given by the jury,north macedonia,sweden,6
230,turin-2022,2022,Points given by the jury,norway,sweden,8
231,turin-2022,2022,Points given by the jury,poland,sweden,10
232,turin-2022,2022,Points given by the jury,romania,sweden,10
233,turin-2022,2022,Points given by the jury,san marino,sweden,5
234,turin-2022,2022,Points given by the jury,serbia,sweden,5
235,turin-2022,2022,Points given by the jury,spain,sweden,7
236,turin-2022,2022,Points given by the jury,switzerland,sweden,7
237,turin-2022,2022,Points given by the jury,ukraine,sweden,4
238,turin-2022,2022,Points given by the jury,united kingdom,sweden,12
239,turin-2022,2022,Points given by televoters,armenia,sweden,7
240,turin-2022,2022,Points given by televoters,australia,sweden,5
241,turin-2022,2022,Points given by televoters,austria,sweden,6
242,turin-2022,2022,Points given by televoters,azerbaijan,sweden,4
243,turin-2022,2022,Points given by televoters,belgium,sweden,5
244,turin-2022,2022,Points given by televoters,croatia,sweden,4
245,turin-2022,2022,Points given by televoters,czech republic,sweden,5
246,turin-2022,2022,Points given by televoters,denmark,sweden,10
247,turin-2022,2022,Points given by televoters,estonia,sweden,10
248,turin-2022,2022,Points given by televoters,finland,sweden,8
249,turin-2022,2022,Points given by televoters,germany,sweden,5
250,turin-2022,2022,Points given by televoters,greece,sweden,4
251,turin-2022,2022,Points given by televoters,iceland,sweden,8
252,turin-2022,2022,Points given by televoters,ireland,sweden,3
253,turin-2022,2022,Points given by televoters,israel,sweden,5
254,turin-2022,2022,Points given by televoters,italy,sweden,5
255,turin-2022,2022,Points given by televoters,latvia,sweden,6
256,turin-2022,2022,Points given by televoters,lithuania,sweden,10
257,turin-2022,2022,Points given by televoters,malta,sweden,5
258,turin-2022,2022,Points given by televoters,moldova,sweden,5
259,turin-2022,2022,Points given by televoters,montenegro,sweden,1
260,turin-2022,2022,Points given by televoters,the netherlands,sweden,2
261,turin-2022,2022,Points given by televoters,north macedonia,sweden,4
262,turin-2022,2022,Points given by televoters,norway,sweden,8
263,turin-2022,2022,Points given by televoters,poland,sweden,10
264,turin-2022,2022,Points given by televoters,portugal,sweden,7
265,turin-2022,2022,Points given by televoters,romania,sweden,6
266,turin-2022,2022,Points given by televoters,san marino,sweden,3
267,turin-2022,2022,Points given by televoters,serbia,sweden,1
268,turin-2022,2022,Points given by televoters,slovenia,sweden,5
269,turin-2022,2022,Points given by televoters,spain,sweden,6
270,turin-2022,2022,Points given by televoters,switzerland,sweden,3
271,turin-2022,2022,Points given by televoters,united kingdom,sweden,4
272,turin-2022,2022,Points given by the jury,australia,serbia,8
273,turin-2022,2022,Points given by the jury,belgium,serbia,4
274,turin-2022,2022,Points given by the jury,croatia,serbia,12
275,turin-2022,2022,Points given by the jury,cyprus,serbia,4
276,turin-2022,2022,Points given by the jury,finland,serbia,7
277,turin-2022,2022,Points given by the jury,ireland,serbia,5
278,turin-2022,2022,Points given by the jury,italy,serbia,4
279,turin-2022,2022,Points given by the jury,lithuania,serbia,1
280,turin-2022,2022,Points given by the jury,montenegro,serbia,12
281,turin-2022,2022,Points given by the jury,north macedonia,serbia,10
282,turin-2022,2022,Points given by the jury,portugal,serbia,3
283,turin-2022,2022,Points given by the jury,slovenia,serbia,6
284,turin-2022,2022,Points given by the jury,spain,serbia,6
285,turin-2022,2022,Points given by the jury,sweden,serbia,4
286,turin-2022,2022,Points given by the jury,united kingdom,serbia,1
287,turin-2022,2022,Points given by televoters,albania,serbia,3
288,turin-2022,2022,Points given by televoters,armenia,serbia,6
289,turin-2022,2022,Points given by televoters,australia,serbia,8
290,turin-2022,2022,Points given by televoters,austria,serbia,10
291,turin-2022,2022,Points given by televoters,azerbaijan,serbia,6
292,turin-2022,2022,Points given by televoters,belgium,serbia,2
293,turin-2022,2022,Points given by televoters,bulgaria,serbia,10
294,turin-2022,2022,Points given by televoters,croatia,serbia,12
295,turin-2022,2022,Points given by televoters,cyprus,serbia,7
296,turin-2022,2022,Points given by televoters,czech republic,serbia,10
297,turin-2022,2022,Points given by televoters,finland,serbia,7
298,turin-2022,2022,Points given by televoters,france,serbia,8
299,turin-2022,2022,Points given by televoters,georgia,serbia,7
300,turin-2022,2022,Points given by televoters,germany,serbia,7
301,turin-2022,2022,Points given by televoters,greece,serbia,8
302,turin-2022,2022,Points given by televoters,iceland,serbia,1
303,turin-2022,2022,Points given by televoters,ireland,serbia,1
304,turin-2022,2022,Points given by televoters,israel,serbia,7
305,turin-2022,2022,Points given by televoters,italy,serbia,7
306,turin-2022,2022,Points given by televoters,latvia,serbia,2
307,turin-2022,2022,Points given by televoters,malta,serbia,6
308,turin-2022,2022,Points given by televoters,montenegro,serbia,12
309,turin-2022,2022,Points given by televoters,the netherlands,serbia,3
310,turin-2022,2022,Points given by televoters,north macedonia,serbia,12
311,turin-2022,2022,Points given by televoters,norway,serbia,3
312,turin-2022,2022,Points given by televoters,poland,serbia,5
313,turin-2022,2022,Points given by televoters,portugal,serbia,5
314,turin-2022,2022,Points given by televoters,romania,serbia,7
315,turin-2022,2022,Points given by televoters,san marino,serbia,8
316,turin-2022,2022,Points given by televoters,slovenia,serbia,12
317,turin-2022,2022,Points given by televoters,spain,serbia,2
318,turin-2022,2022,Points given by televoters,sweden,serbia,8
319,turin-2022,2022,Points given by televoters,switzerland,serbia,12
320,turin-2022,2022,Points given by televoters,united kingdom,serbia,1
321,turin-2022,2022,Points given by the jury,albania,italy,12
322,turin-2022,2022,Points given by the jury,armenia,italy,10
323,turin-2022,2022,Points given by the jury,australia,italy,3
324,turin-2022,2022,Points given by the jury,austria,italy,3
325,turin-2022,2022,Points given by the jury,azerbaijan,italy,10
326,turin-2022,2022,Points given by the jury,belgium,italy,8
327,turin-2022,2022,Points given by the jury,bulgaria,italy,1
328,turin-2022,2022,Points given by the jury,croatia,italy,4
329,turin-2022,2022,Points given by the jury,cyprus,italy,1
330,turin-2022,2022,Points given by the jury,estonia,italy,10
331,turin-2022,2022,Points given by the jury,finland,italy,2
332,turin-2022,2022,Points given by the jury,georgia,italy,10
333,turin-2022,2022,Points given by the jury,greece,italy,1
334,turin-2022,2022,Points given by the jury,iceland,italy,6
335,turin-2022,2022,Points given by the jury,ireland,italy,6
336,turin-2022,2022,Points given by the jury,israel,italy,8
337,turin-2022,2022,Points given by the jury,lithuania,italy,4
338,turin-2022,2022,Points given by the jury,malta,italy,7
339,turin-2022,2022,Points given by the jury,montenegro,italy,10
340,turin-2022,2022,Points given by the jury,north macedonia,italy,7
341,turin-2022,2022,Points given by the jury,poland,italy,4
342,turin-2022,2022,Points given by the jury,romania,italy,4
343,turin-2022,2022,Points given by the jury,san marino,italy,3
344,turin-2022,2022,Points given by the jury,slovenia,italy,12
345,turin-2022,2022,Points given by the jury,spain,italy,10
346,turin-2022,2022,Points given by the jury,switzerland,italy,2
347,turin-2022,2022,Points given by televoters,albania,italy,8
348,turin-2022,2022,Points given by televoters,australia,italy,1
349,turin-2022,2022,Points given by televoters,austria,italy,3
350,turin-2022,2022,Points given by televoters,azerbaijan,italy,5
351,turin-2022,2022,Points given by televoters,belgium,italy,4
352,turin-2022,2022,Points given by televoters,bulgaria,italy,2
353,turin-2022,2022,Points given by televoters,croatia,italy,6
354,turin-2022,2022,Points given by televoters,cyprus,italy,5
355,turin-2022,2022,Points given by televoters,france,italy,3
356,turin-2022,2022,Points given by televoters,germany,italy,3
357,turin-2022,2022,Points given by televoters,greece,italy,7
358,turin-2022,2022,Points given by televoters,israel,italy,3
359,turin-2022,2022,Points given by televoters,lithuania,italy,3
360,turin-2022,2022,Points given by televoters,malta,italy,10
361,turin-2022,2022,Points given by televoters,montenegro,italy,6
362,turin-2022,2022,Points given by televoters,north macedonia,italy,6
363,turin-2022,2022,Points given by televoters,portugal,italy,3
364,turin-2022,2022,Points given by televoters,romania,italy,4
365,turin-2022,2022,Points given by televoters,san marino,italy,5
366,turin-2022,2022,Points given by televoters,serbia,italy,4
367,turin-2022,2022,Points given by televoters,slovenia,italy,6
368,turin-2022,2022,Points given by televoters,spain,italy,5
369,turin-2022,2022,Points given by televoters,switzerland,italy,8
370,turin-2022,2022,Points given by the jury,armenia,moldova,1
371,turin-2022,2022,Points given by the jury,greece,moldova,6
372,turin-2022,2022,Points given by the jury,italy,moldova,5
373,turin-2022,2022,Points given by the jury,the netherlands,moldova,2
374,turin-2022,2022,Points given by televoters,albania,moldova,1
375,turin-2022,2022,Points given by televoters,armenia,moldova,5
376,turin-2022,2022,Points given by televoters,australia,moldova,4
377,turin-2022,2022,Points given by televoters,austria,moldova,7
378,turin-2022,2022,Points given by televoters,belgium,moldova,8
379,turin-2022,2022,Points given by televoters,bulgaria,moldova,7
380,turin-2022,2022,Points given by televoters,croatia,moldova,8
381,turin-2022,2022,Points given by televoters,czech republic,moldova,8
382,turin-2022,2022,Points given by televoters,denmark,moldova,5
383,turin-2022,2022,Points given by televoters,estonia,moldova,6
384,turin-2022,2022,Points given by televoters,finland,moldova,5
385,turin-2022,2022,Points given by televoters,france,moldova,10
386,turin-2022,2022,Points given by televoters,georgia,moldova,8
387,turin-2022,2022,Points given by televoters,germany,moldova,10
388,turin-2022,2022,Points given by televoters,greece,moldova,3
389,turin-2022,2022,Points given by televoters,iceland,moldova,6
390,turin-2022,2022,Points given by televoters,ireland,moldova,7
391,turin-2022,2022,Points given by televoters,israel,moldova,6
392,turin-2022,2022,Points given by televoters,italy,moldova,10
393,turin-2022,2022,Points given by televoters,latvia,moldova,7
394,turin-2022,2022,Points given by televoters,lithuania,moldova,5
395,turin-2022,2022,Points given by televoters,montenegro,moldova,7
396,turin-2022,2022,Points given by televoters,the netherlands,moldova,10
397,turin-2022,2022,Points given by televoters,north macedonia,moldova,7
398,turin-2022,2022,Points given by televoters,norway,moldova,4
399,turin-2022,2022,Points given by televoters,poland,moldova,7
400,turin-2022,2022,Points given by televoters,portugal,moldova,8
401,turin-2022,2022,Points given by televoters,romania,moldova,12
402,turin-2022,2022,Points given by televoters,san marino,moldova,4
403,turin-2022,2022,Points given by televoters,serbia,moldova,12
404,turin-2022,2022,Points given by televoters,slovenia,moldova,7
405,turin-2022,2022,Points given by televoters,spain,moldova,7
406,turin-2022,2022,Points given by televoters,switzerland,moldova,4
407,turin-2022,2022,Points given by televoters,ukraine,moldova,6
408,turin-2022,2022,Points given by televoters,united kingdom,moldova,8
409,turin-2022,2022,Points given by the jury,armenia,greece,2
410,turin-2022,2022,Points given by the jury,austria,greece,4
411,turin-2022,2022,Points given by the jury,azerbaijan,greece,3
412,turin-2022,2022,Points given by the jury,bulgaria,greece,12
413,turin-2022,2022,Points given by the jury,croatia,greece,3
414,turin-2022,2022,Points given by the jury,cyprus,greece,12
415,turin-2022,2022,Points given by the jury,czech republic,greece,3
416,turin-2022,2022,Points given by the jury,denmark,greece,12
417,turin-2022,2022,Points given by the jury,estonia,greece,6
418,turin-2022,2022,Points given by the jury,finland,greece,6
419,turin-2022,2022,Points given by the jury,france,greece,3
420,turin-2022,2022,Points given by the jury,georgia,greece,3
421,turin-2022,2022,Points given by the jury,italy,greece,10
422,turin-2022,2022,Points given by the jury,latvia,greece,7
423,turin-2022,2022,Points given by the jury,malta,greece,1
424,turin-2022,2022,Points given by the jury,the netherlands,greece,12
425,turin-2022,2022,Points given by the jury,norway,greece,12
426,turin-2022,2022,Points given by the jury,poland,greece,2
427,turin-2022,2022,Points given by the jury,portugal,greece,4
428,turin-2022,2022,Points given by the jury,romania,greece,2
429,turin-2022,2022,Points given by the jury,san marino,greece,10
430,turin-2022,2022,Points given by the jury,slovenia,greece,4
431,turin-2022,2022,Points given by the jury,spain,greece,2
432,turin-2022,2022,Points given by the jury,switzerland,greece,12
433,turin-2022,2022,Points given by the jury,ukraine,greece,7
434,turin-2022,2022,Points given by the jury,united kingdom,greece,4
435,turin-2022,2022,Points given by televoters,albania,greece,12
436,turin-2022,2022,Points given by televoters,armenia,greece,3
437,turin-2022,2022,Points given by televoters,azerbaijan,greece,3
438,turin-2022,2022,Points given by televoters,bulgaria,greece,6
439,turin-2022,2022,Points given by televoters,cyprus,greece,10
440,turin-2022,2022,Points given by televoters,georgia,greece,1
441,turin-2022,2022,Points given by televoters,norway,greece,7
442,turin-2022,2022,Points given by televoters,san marino,greece,7
443,turin-2022,2022,Points given by televoters,slovenia,greece,8
444,turin-2022,2022,Points given by the jury,albania,portugal,1
445,turin-2022,2022,Points given by the jury,armenia,portugal,8
446,turin-2022,2022,Points given by the jury,australia,portugal,6
447,turin-2022,2022,Points given by the jury,austria,portugal,10
448,turin-2022,2022,Points given by the jury,azerbaijan,portugal,7
449,turin-2022,2022,Points given by the jury,belgium,portugal,5
450,turin-2022,2022,Points given by the jury,bulgaria,portugal,4
451,turin-2022,2022,Points given by the jury,croatia,portugal,10
452,turin-2022,2022,Points given by the jury,czech republic,portugal,5
453,turin-2022,2022,Points given by the jury,denmark,portugal,8
454,turin-2022,2022,Points given by the jury,estonia,portugal,7
455,turin-2022,2022,Points given by the jury,france,portugal,1
456,turin-2022,2022,Points given by the jury,georgia,portugal,7
457,turin-2022,2022,Points given by the jury,greece,portugal,3
458,turin-2022,2022,Points given by the jury,iceland,portugal,5
459,turin-2022,2022,Points given by the jury,ireland,portugal,4
460,turin-2022,2022,Points given by the jury,latvia,portugal,6
461,turin-2022,2022,Points given by the jury,lithuania,portugal,8
462,turin-2022,2022,Points given by the jury,moldova,portugal,2
463,turin-2022,2022,Points given by the jury,montenegro,portugal,4
464,turin-2022,2022,Points given by the jury,the netherlands,portugal,8
465,turin-2022,2022,Points given by the jury,norway,portugal,10
466,turin-2022,2022,Points given by the jury,poland,portugal,7
467,turin-2022,2022,Points given by the jury,romania,portugal,7
468,turin-2022,2022,Points given by the jury,serbia,portugal,7
469,turin-2022,2022,Points given by the jury,slovenia,portugal,3
470,turin-2022,2022,Points given by the jury,switzerland,portugal,5
471,turin-2022,2022,Points given by the jury,ukraine,portugal,10
472,turin-2022,2022,Points given by the jury,united kingdom,portugal,3
473,turin-2022,2022,Points given by televoters,armenia,portugal,4
474,turin-2022,2022,Points given by televoters,belgium,portugal,1
475,turin-2022,2022,Points given by televoters,france,portugal,6
476,turin-2022,2022,Points given by televoters,italy,portugal,1
477,turin-2022,2022,Points given by televoters,lithuania,portugal,7
