From,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Serbia and Montenegro,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
Cyprus,45.0,53.0,87.0,30.0,43.0,0.0,32.0,0.0,93.0,25.0,0.0,30.0,6.0,35.0,26.0,85.0,5.0,7.0,229.0,19.0,9.0,9.0,90.0,114.0,4.0,34.0,13.0,50.0,28.0,0.0,30.0,0.0,32.0,39.0,20.0,59.0,67.0,3.0,46.0,20.0,5.0,44.0,110.0,38.0,4.0,113.0,19.0
Czech Republic,21.0,39.0,40.0,21.0,22.0,0.0,8.0,0.0,33.0,30.0,8.0,0.0,37.0,48.0,59.0,26.0,6.0,22.0,19.0,15.0,10.0,28.0,99.0,20.0,22.0,18.0,1.0,19.0,34.0,0.0,34.0,19.0,73.0,30.0,14.0,41.0,22.0,0.0,27.0,0.0,26.0,16.0,107.0,54.0,0.0,125.0,28.0
Denmark,13.0,22.0,65.0,67.0,19.0,0.0,40.0,14.0,49.0,20.0,23.0,23.0,0.0,38.0,82.0,42.0,0.0,73.0,39.0,6.0,83.0,37.0,60.0,24.0,52.0,49.0,19.0,22.0,33.0,0.0,81.0,10.0,167.0,23.0,30.0,41.0,20.0,0.0,2.0,0.0,9.0,13.0,211.0,59.0,26.0,81.0,37.0
Estonia,3.0,10.0,61.0,34.0,30.0,1.0,42.0,0.0,21.0,31.0,17.0,31.0,51.0,0.0,130.0,21.0,10.0,25.0,20.0,15.0,39.0,6.0,45.0,66.0,33.0,70.0,0.0,9.0,24.0,0.0,52.0,0.0,67.0,38.0,29.0,9.0,65.0,5.0,13.0,0.0,20.0,11.0,151.0,56.0,0.0,82.0,19.0
Finland,4.0,6.0,49.0,55.0,18.0,0.0,26.0,22.0,32.0,65.0,13.0,50.0,55.0,100.0,0.0,70.0,9.0,16.0,18.0,45.0,56.0,37.0,92.0,43.0,16.0,45.0,14.0,17.0,28.0,2.0,23.0,2.0,83.0,21.0,13.0,19.0,32.0,9.0,59.0,0.0,10.0,8.0,157.0,64.0,13.0,65.0,23.0
France,40.0,188.0,46.0,56.0,21.0,0.0,55.0,19.0,61.0,10.0,10.0,19.0,55.0,19.0,39.0,0.0,6.0,39.0,88.0,8.0,27.0,2.0,193.0,129.0,19.0,17.0,23.0,27.0,75.0,0.0,68.0,7.0,47.0,37.0,136.0,58.0,45.0,4.0,52.0,16.0,2.0,87.0,89.0,57.0,87.0,125.0,25.0
Georgia,3.0,167.0,33.0,19.0,59.0,25.0,40.0,0.0,12.0,14.0,17.0,18.0,21.0,31.0,48.0,35.0,0.0,7.0,58.0,7.0,6.0,4.0,106.0,72.0,50.0,72.0,0.0,10.0,45.0,5.0,19.0,1.0,26.0,30.0,11.0,12.0,38.0,7.0,44.0,0.0,1.0,13.0,62.0,28.0,13.0,140.0,19.0
Germany,28.0,37.0,78.0,73.0,21.0,0.0,45.0,24.0,38.0,85.0,24.0,26.0,51.0,32.0,89.0,64.0,11.0,0.0,124.0,26.0,36.0,36.0,111.0,104.0,24.0,48.0,13.0,36.0,39.0,4.0,55.0,19.0,77.0,87.0,40.0,26.0,77.0,0.0,65.0,13.0,4.0,26.0,134.0,67.0,84.0,89.0,33.0
Greece,147.0,101.0,37.0,68.0,66.0,9.0,35.0,9.0,59.0,32.0,204.0,3.0,7.0,21.0,40.0,92.0,47.0,19.0,0.0,10.0,9.0,2.0,72.0,109.0,11.0,16.0,10.0,35.0,85.0,12.0,54.0,1.0,49.0,48.0,40.0,59.0,69.0,20.0,54.0,14.0,6.0,34.0,50.0,53.0,12.0,70.0,20.0
Hungary,18.0,13.0,37.0,29.0,30.0,4.0,24.0,0.0,36.0,12.0,14.0,10.0,45.0,7.0,6.0,2.0,10.0,11.0,28.0,0.0,29.0,3.0,24.0,21.0,14.0,8.0,0.0,23.0,23.0,0.0,41.0,0.0,19.0,11.0,19.0,26.0,32.0,4.0,16.0,2.0,6.0,6.0,56.0,4.0,4.0,24.0,3.0
Iceland,15.0,19.0,49.0,41.0,23.0,0.0,33.0,2.0,8.0,40.0,27.0,16.0,84.0,42.0,82.0,72.0,2.0,16.0,20.0,11.0,0.0,21.0,12.0,33.0,8.0,35.0,5.0,9.0,13.0,0.0,80.0,8.0,113.0,54.0,45.0,11.0,11.0,4.0,9.0,7.0,1.0,12.0,153.0,55.0,5.0,77.0,35.0
Ireland,4.0,7.0,25.0,27.0,6.0,0.0,31.0,2.0,10.0,36.0,32.0,38.0,43.0,42.0,70.0,30.0,6.0,47.0,9.0,5.0,1.0,0.0,69.0,14.0,34.0,110.0,16.0,25.0,37.0,0.0,19.0,1.0,13.0,49.0,19.0,29.0,27.0,0.0,22.0,3.0,2.0,21.0,118.0,25.0,2.0,74.0,76.0
Israel,2.0,88.0,83.0,60.0,33.0,3.0,62.0,2.0,53.0,30.0,7.0,53.0,32.0,60.0,79.0,81.0,32.0,41.0,69.0,12.0,15.0,9.0,0.0,96.0,22.0,17.0,39.0,41.0,71.0,2.0,24.0,0.0,69.0,47.0,34.0,61.0,88.0,10.0,19.0,0.0,10.0,22.0,102.0,47.0,4.0,139.0,32.0
Italy,96.0,39.0,27.0,34.0,20.0,0.0,42.0,4.0,25.0,41.0,20.0,23.0,49.0,59.0,49.0,36.0,16.0,43.0,54.0,9.0,37.0,18.0,102.0,0.0,5.0,41.0,0.0,44.0,105.0,2.0,56.0,11.0,72.0,53.0,28.0,58.0,43.0,46.0,41.0,0.0,0.0,22.0,73.0,54.0,0.0,150.0,40.0
Latvia,1.0,33.0,29.0,30.0,9.0,8.0,17.0,0.0,26.0,34.0,6.0,21.0,48.0,69.0,69.0,31.0,19.0,14.0,20.0,8.0,15.0,12.0,63.0,14.0,0.0,122.0,20.0,17.0,37.0,0.0,21.0,0.0,74.0,13.0,18.0,23.0,70.0,0.0,5.0,1.0,9.0,12.0,91.0,62.0,0.0,132.0,15.0
Lithuania,0.0,16.0,42.0,47.0,40.0,8.0,36.0,4.0,28.0,38.0,12.0,10.0,34.0,111.0,66.0,63.0,58.0,26.0,13.0,13.0,25.0,28.0,70.0,81.0,101.0,0.0,8.0,11.0,42.0,0.0,37.0,0.0,49.0,68.0,73.0,11.0,56.0,0.0,24.0,0.0,15.0,11.0,103.0,57.0,1.0,155.0,20.0
Luxembourg,18.0,2.0,14.0,15.0,0.0,0.0,0.0,0.0,25.0,30.0,19.0,10.0,19.0,8.0,16.0,44.0,0.0,9.0,33.0,0.0,0.0,8.0,38.0,10.0,21.0,26.0,0.0,15.0,6.0,0.0,7.0,0.0,11.0,3.0,29.0,22.0,0.0,0.0,5.0,0.0,1.0,0.0,8.0,23.0,0.0,35.0,6.0
Malta,56.0,32.0,76.0,38.0,47.0,2.0,0.0,0.0,60.0,20.0,64.0,18.0,29.0,28.0,84.0,43.0,7.0,2.0,77.0,5.0,18.0,27.0,78.0,170.0,26.0,17.0,8.0,0.0,3.0,0.0,34.0,14.0,75.0,19.0,15.0,52.0,41.0,13.0,38.0,6.0,0.0,29.0,129.0,75.0,13.0,70.0,67.0
Moldova,6.0,40.0,27.0,7.0,74.0,21.0,14.0,5.0,62.0,44.0,33.0,17.0,14.0,52.0,37.0,33.0,19.0,10.0,69.0,4.0,11.0,7.0,106.0,62.0,17.0,28.0,9.0,7.0,0.0,0.0,13.0,0.0,66.0,36.0,45.0,138.0,84.0,0.0,22.0,1.0,5.0,18.0,93.0,43.0,1.0,174.0,18.0
Montenegro,52.0,11.0,14.0,20.0,14.0,1.0,15.0,0.0,12.0,36.0,8.0,6.0,2.0,27.0,29.0,8.0,0.0,0.0,44.0,12.0,0.0,0.0,30.0,38.0,3.0,15.0,13.0,10.0,20.0,0.0,5.0,11.0,2.0,23.0,13.0,3.0,7.0,6.0,79.0,0.0,12.0,18.0,48.0,12.0,0.0,34.0,5.0
Netherlands,7.0,45.0,33.0,64.0,9.0,0.0,85.0,2.0,19.0,26.0,20.0,25.0,39.0,31.0,44.0,53.0,0.0,33.0,47.0,19.0,50.0,10.0,79.0,46.0,9.0,26.0,6.0,29.0,20.0,0.0,0.0,4.0,78.0,41.0,86.0,8.0,20.0,0.0,3.0,10.0,2.0,26.0,118.0,101.0,12.0,72.0,17.0
North Macedonia,0.0,0.0,5.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0,5.0,11.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,9.0,7.0,13.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,22.0,24.0,1.0,0.0,8.0,8.0
Norway,22.0,30.0,56.0,44.0,26.0,0.0,24.0,35.0,53.0,19.0,26.0,41.0,124.0,35.0,98.0,60.0,2.0,47.0,46.0,6.0,88.0,15.0,89.0,63.0,33.0,76.0,0.0,40.0,36.0,0.0,91.0,10.0,0.0,31.0,39.0,61.0,19.0,2.0,19.0,6.0,2.0,16.0,241.0,73.0,19.0,85.0,29.0
Poland,23.0,23.0,76.0,28.0,12.0,4.0,60.0,0.0,37.0,43.0,29.0,31.0,9.0,58.0,50.0,15.0,9.0,23.0,30.0,11.0,6.0,15.0,71.0,38.0,25.0,47.0,6.0,3.0,34.0,6.0,37.0,5.0,46.0,0.0,50.0,27.0,20.0,7.0,34.0,5.0,19.0,15.0,127.0,49.0,8.0,160.0,19.0
Portugal,36.0,23.0,23.0,31.0,12.0,0.0,39.0,0.0,33.0,34.0,20.0,13.0,24.0,38.0,56.0,62.0,1.0,16.0,28.0,2.0,46.0,27.0,52.0,69.0,31.0,44.0,10.0,4.0,112.0,7.0,50.0,0.0,36.0,26.0,0.0,31.0,19.0,1.0,28.0,0.0,6.0,92.0,58.0,54.0,3.0,147.0,32.0
Romania,33.0,31.0,61.0,16.0,32.0,1.0,29.0,7.0,48.0,16.0,27.0,40.0,44.0,34.0,22.0,8.0,2.0,9.0,98.0,54.0,10.0,2.0,39.0,59.0,11.0,2.0,2.0,16.0,167.0,0.0,20.0,5.0,45.0,5.0,20.0,0.0,35.0,4.0,45.0,14.0,18.0,32.0,112.0,26.0,51.0,69.0,16.0
Russia,3.0,91.0,14.0,13.0,124.0,41.0,26.0,6.0,10.0,7.0,41.0,0.0,5.0,21.0,16.0,33.0,45.0,6.0,60.0,10.0,16.0,0.0,19.0,33.0,12.0,14.0,0.0,30.0,55.0,0.0,11.0,4.0,41.0,5.0,0.0,9.0,0.0,5.0,16.0,16.0,14.0,6.0,30.0,15.0,12.0,92.0,17.0
San Marino,26.0,26.0,39.0,19.0,38.0,0.0,30.0,0.0,23.0,19.0,52.0,18.0,9.0,56.0,52.0,33.0,5.0,1.0,100.0,7.0,23.0,9.0,64.0,115.0,11.0,34.0,0.0,29.0,38.0,7.0,26.0,1.0,15.0,33.0,20.0,22.0,23.0,0.0,32.0,0.0,8.0,30.0,59.0,54.0,0.0,49.0,21.0
Serbia,7.0,15.0,29.0,37.0,31.0,2.0,35.0,49.0,43.0,87.0,37.0,36.0,17.0,54.0,82.0,64.0,0.0,33.0,100.0,44.0,17.0,16.0,93.0,94.0,8.0,37.0,11.0,29.0,48.0,54.0,15.0,55.0,43.0,16.0,28.0,24.0,65.0,1.0,0.0,0.0,70.0,19.0,104.0,42.0,3.0,67.0,7.0
Serbia and Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia,45.0,9.0,14.0,62.0,10.0,0.0,17.0,20.0,7.0,74.0,42.0,29.0,29.0,36.0,13.0,30.0,2.0,13.0,19.0,8.0,16.0,7.0,17.0,105.0,16.0,45.0,14.0,1.0,14.0,17.0,59.0,24.0,40.0,11.0,25.0,0.0,8.0,0.0,93.0,0.0,0.0,13.0,75.0,44.0,0.0,67.0,3.0
Spain,12.0,85.0,67.0,51.0,36.0,0.0,42.0,1.0,55.0,8.0,43.0,32.0,25.0,33.0,39.0,103.0,2.0,64.0,38.0,23.0,31.0,37.0,87.0,139.0,16.0,17.0,0.0,30.0,47.0,1.0,50.0,0.0,61.0,40.0,76.0,139.0,56.0,14.0,23.0,6.0,16.0,0.0,139.0,65.0,7.0,119.0,39.0
Sweden,29.0,18.0,110.0,50.0,41.0,0.0,59.0,54.0,37.0,63.0,50.0,44.0,95.0,81.0,181.0,67.0,0.0,13.0,46.0,27.0,73.0,38.0,82.0,65.0,11.0,41.0,13.0,39.0,31.0,2.0,68.0,2.0,155.0,67.0,37.0,22.0,50.0,4.0,56.0,16.0,1.0,22.0,0.0,77.0,24.0,90.0,29.0
Switzerland,88.0,22.0,36.0,47.0,3.0,0.0,0.0,29.0,37.0,51.0,2.0,38.0,23.0,25.0,46.0,54.0,0.0,37.0,73.0,1.0,31.0,14.0,62.0,113.0,16.0,11.0,3.0,11.0,14.0,0.0,79.0,20.0,57.0,18.0,81.0,17.0,6.0,5.0,49.0,12.0,0.0,38.0,74.0,0.0,16.0,62.0,19.0
Turkey,31.0,44.0,0.0,0.0,48.0,0.0,0.0,71.0,6.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,14.0,16.0,43.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,22.0,0.0,0.0,24.0,5.0,0.0,0.0,20.0,33.0,0.0,0.0,8.0,0.0,5.0,9.0,0.0,0.0,32.0,1.0
Ukraine,16.0,70.0,44.0,30.0,100.0,50.0,25.0,10.0,12.0,76.0,12.0,47.0,37.0,43.0,45.0,70.0,53.0,34.0,29.0,24.0,24.0,28.0,71.0,56.0,45.0,113.0,21.0,39.0,119.0,0.0,46.0,6.0,92.0,73.0,63.0,39.0,108.0,0.0,11.0,15.0,19.0,7.0,82.0,73.0,19.0,0.0,48.0
United Kingdom,22.0,5.0,109.0,44.0,30.0,1.0,36.0,4.0,91.0,29.0,49.0,32.0,82.0,38.0,72.0,46.0,12.0,32.0,95.0,3.0,53.0,104.0,95.0,27.0,70.0,155.0,13.0,59.0,41.0,0.0,28.0,19.0,76.0,94.0,44.0,57.0,37.0,6.0,16.0,3.0,4.0,44.0,134.0,49.0,53.0,97.0,0.0
