From,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovenia,Spain,Sweden,Switzerland,Ukraine,United Kingdom
Czech Republic,11.0,15.0,17.0,8.0,13.0,0.0,0.0,24.0,16.0,8.0,0.0,12.0,24.0,27.0,4.0,0.0,4.0,8.0,3.0,6.0,11.0,49.0,5.0,0.0,1.0,1.0,2.0,27.0,0.0,4.0,2.0,29.0,22.0,0.0,23.0,22.0,0.0,24.0,3.0,6.0,29.0,17.0,94.0,2.0
Denmark,5.0,5.0,18.0,15.0,5.0,0.0,12.0,32.0,12.0,5.0,9.0,0.0,17.0,27.0,7.0,0.0,13.0,0.0,3.0,23.0,7.0,18.0,6.0,4.0,18.0,6.0,1.0,23.0,0.0,17.0,0.0,77.0,16.0,8.0,13.0,0.0,0.0,0.0,0.0,2.0,71.0,16.0,48.0,9.0
Estonia,0.0,0.0,18.0,6.0,1.0,0.0,7.0,7.0,13.0,4.0,13.0,16.0,0.0,72.0,5.0,1.0,5.0,4.0,3.0,10.0,2.0,19.0,22.0,11.0,35.0,0.0,3.0,24.0,0.0,15.0,0.0,23.0,13.0,8.0,6.0,12.0,0.0,9.0,8.0,1.0,38.0,15.0,46.0,5.0
Finland,4.0,0.0,14.0,14.0,0.0,0.0,2.0,7.0,22.0,1.0,22.0,18.0,67.0,0.0,15.0,2.0,10.0,0.0,8.0,18.0,5.0,51.0,19.0,3.0,13.0,0.0,0.0,15.0,0.0,2.0,0.0,23.0,7.0,3.0,13.0,1.0,4.0,26.0,7.0,6.0,46.0,16.0,34.0,4.0
France,26.0,71.0,10.0,10.0,0.0,0.0,14.0,28.0,8.0,3.0,0.0,6.0,7.0,9.0,0.0,0.0,0.0,9.0,2.0,8.0,0.0,81.0,57.0,3.0,6.0,6.0,5.0,55.0,0.0,9.0,0.0,11.0,19.0,57.0,29.0,9.0,0.0,12.0,0.0,22.0,7.0,15.0,80.0,2.0
Georgia,3.0,56.0,5.0,5.0,10.0,0.0,2.0,9.0,7.0,1.0,4.0,4.0,15.0,21.0,6.0,0.0,2.0,15.0,2.0,0.0,4.0,53.0,8.0,7.0,26.0,0.0,0.0,29.0,5.0,0.0,0.0,6.0,10.0,0.0,12.0,8.0,0.0,30.0,0.0,6.0,16.0,7.0,66.0,4.0
Germany,16.0,6.0,13.0,23.0,0.0,0.0,13.0,19.0,37.0,6.0,14.0,7.0,9.0,31.0,16.0,0.0,0.0,23.0,5.0,9.0,8.0,48.0,54.0,0.0,21.0,0.0,0.0,27.0,0.0,15.0,0.0,19.0,57.0,14.0,12.0,25.0,0.0,25.0,3.0,2.0,28.0,22.0,42.0,7.0
Greece,48.0,19.0,6.0,12.0,2.0,0.0,5.0,21.0,12.0,72.0,1.0,0.0,8.0,19.0,34.0,2.0,3.0,0.0,0.0,2.0,2.0,36.0,50.0,0.0,6.0,0.0,3.0,27.0,4.0,16.0,0.0,23.0,6.0,11.0,9.0,9.0,7.0,20.0,0.0,16.0,17.0,19.0,18.0,5.0
Hungary,0.0,0.0,3.0,9.0,0.0,0.0,8.0,16.0,5.0,14.0,8.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,5.0,8.0,7.0,6.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,12.0,0.0
Iceland,0.0,3.0,13.0,7.0,0.0,0.0,6.0,0.0,17.0,0.0,2.0,12.0,10.0,30.0,21.0,0.0,3.0,0.0,0.0,0.0,3.0,12.0,12.0,0.0,15.0,0.0,3.0,13.0,0.0,24.0,0.0,39.0,23.0,4.0,0.0,0.0,1.0,1.0,0.0,3.0,53.0,20.0,27.0,7.0
Ireland,0.0,0.0,7.0,4.0,0.0,0.0,5.0,0.0,14.0,5.0,15.0,2.0,16.0,21.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,27.0,1.0,8.0,45.0,0.0,3.0,12.0,0.0,3.0,0.0,9.0,42.0,0.0,7.0,0.0,0.0,5.0,0.0,8.0,21.0,6.0,34.0,16.0
Israel,1.0,21.0,27.0,15.0,7.0,2.0,12.0,29.0,18.0,3.0,24.0,11.0,25.0,22.0,43.0,9.0,16.0,22.0,1.0,1.0,3.0,0.0,52.0,0.0,3.0,15.0,5.0,46.0,2.0,4.0,0.0,24.0,18.0,12.0,12.0,32.0,8.0,16.0,0.0,13.0,26.0,13.0,73.0,10.0
Italy,66.0,12.0,7.0,6.0,1.0,0.0,2.0,20.0,23.0,11.0,2.0,8.0,13.0,21.0,15.0,8.0,3.0,14.0,6.0,13.0,3.0,50.0,0.0,0.0,9.0,0.0,0.0,58.0,2.0,11.0,0.0,30.0,27.0,12.0,28.0,23.0,23.0,23.0,0.0,1.0,13.0,11.0,81.0,6.0
Latvia,1.0,6.0,8.0,9.0,3.0,0.0,0.0,14.0,9.0,0.0,1.0,10.0,38.0,27.0,6.0,2.0,5.0,2.0,0.0,5.0,3.0,23.0,3.0,0.0,58.0,4.0,3.0,23.0,0.0,3.0,0.0,26.0,5.0,6.0,14.0,12.0,0.0,2.0,2.0,4.0,29.0,11.0,62.0,3.0
Lithuania,0.0,4.0,7.0,9.0,0.0,0.0,2.0,12.0,17.0,6.0,8.0,17.0,49.0,29.0,24.0,4.0,10.0,2.0,2.0,5.0,5.0,15.0,42.0,38.0,0.0,0.0,0.0,26.0,0.0,8.0,0.0,14.0,27.0,19.0,10.0,12.0,0.0,13.0,0.0,6.0,35.0,17.0,70.0,4.0
Luxembourg,16.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,10.0,8.0,2.0,5.0,5.0,5.0,16.0,0.0,1.0,23.0,0.0,0.0,0.0,25.0,10.0,4.0,8.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.0,0.0
Malta,20.0,0.0,32.0,10.0,8.0,0.0,0.0,28.0,10.0,14.0,2.0,3.0,12.0,33.0,13.0,0.0,0.0,4.0,5.0,6.0,7.0,23.0,81.0,1.0,6.0,4.0,0.0,0.0,0.0,13.0,5.0,40.0,8.0,0.0,13.0,14.0,11.0,28.0,0.0,7.0,41.0,14.0,32.0,17.0
Moldova,5.0,10.0,0.0,2.0,11.0,1.0,4.0,22.0,16.0,10.0,7.0,3.0,10.0,21.0,19.0,0.0,4.0,27.0,2.0,0.0,2.0,52.0,36.0,0.0,15.0,0.0,0.0,0.0,0.0,8.0,0.0,27.0,14.0,10.0,34.0,12.0,0.0,9.0,0.0,8.0,31.0,9.0,66.0,3.0
Montenegro,22.0,0.0,4.0,3.0,0.0,0.0,6.0,7.0,18.0,8.0,4.0,0.0,20.0,4.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,19.0,13.0,0.0,5.0,8.0,1.0,14.0,0.0,0.0,10.0,2.0,12.0,7.0,3.0,0.0,0.0,24.0,0.0,8.0,12.0,0.0,21.0,0.0
Netherlands,0.0,19.0,8.0,16.0,4.0,0.0,36.0,9.0,13.0,5.0,6.0,13.0,14.0,22.0,21.0,0.0,13.0,22.0,8.0,19.0,10.0,40.0,28.0,1.0,9.0,0.0,1.0,15.0,0.0,0.0,1.0,32.0,29.0,24.0,7.0,3.0,0.0,3.0,0.0,10.0,31.0,22.0,36.0,8.0
North Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,11.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,3.0,7.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,11.0,0.0,8.0,0.0
Norway,11.0,5.0,15.0,12.0,4.0,0.0,11.0,26.0,13.0,4.0,6.0,31.0,11.0,35.0,21.0,0.0,6.0,19.0,4.0,30.0,4.0,30.0,23.0,5.0,49.0,0.0,7.0,16.0,0.0,19.0,0.0,0.0,22.0,14.0,17.0,1.0,0.0,3.0,0.0,1.0,72.0,20.0,46.0,6.0
Poland,4.0,2.0,14.0,11.0,0.0,4.0,13.0,18.0,21.0,8.0,15.0,3.0,31.0,31.0,7.0,0.0,5.0,2.0,11.0,0.0,6.0,20.0,4.0,7.0,17.0,0.0,0.0,33.0,6.0,0.0,0.0,15.0,0.0,11.0,22.0,8.0,4.0,23.0,2.0,6.0,53.0,8.0,74.0,3.0
Portugal,2.0,7.0,4.0,7.0,0.0,0.0,11.0,14.0,14.0,6.0,0.0,5.0,9.0,27.0,35.0,0.0,8.0,9.0,2.0,5.0,8.0,42.0,45.0,0.0,9.0,0.0,0.0,70.0,4.0,15.0,0.0,13.0,6.0,0.0,14.0,1.0,0.0,13.0,0.0,39.0,23.0,12.0,71.0,6.0
Romania,17.0,0.0,4.0,0.0,0.0,0.0,10.0,26.0,5.0,11.0,12.0,4.0,13.0,14.0,8.0,0.0,0.0,4.0,10.0,0.0,0.0,12.0,24.0,0.0,0.0,0.0,2.0,48.0,0.0,0.0,0.0,15.0,1.0,7.0,0.0,0.0,2.0,27.0,2.0,8.0,28.0,7.0,23.0,3.0
Russia,0.0,12.0,8.0,8.0,22.0,8.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,5.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,7.0,17.0,0.0
San Marino,9.0,0.0,12.0,5.0,4.0,0.0,1.0,12.0,11.0,35.0,6.0,0.0,11.0,31.0,16.0,0.0,0.0,56.0,0.0,2.0,2.0,50.0,46.0,0.0,5.0,0.0,0.0,25.0,0.0,8.0,0.0,9.0,18.0,5.0,15.0,13.0,0.0,27.0,0.0,10.0,22.0,13.0,37.0,6.0
Serbia,5.0,3.0,9.0,13.0,4.0,0.0,8.0,20.0,38.0,25.0,16.0,4.0,24.0,33.0,23.0,0.0,5.0,27.0,22.0,10.0,7.0,29.0,41.0,0.0,6.0,0.0,3.0,25.0,22.0,3.0,20.0,23.0,4.0,0.0,18.0,26.0,1.0,0.0,28.0,12.0,26.0,13.0,22.0,0.0
Slovenia,22.0,0.0,2.0,12.0,0.0,0.0,2.0,0.0,36.0,12.0,8.0,11.0,8.0,10.0,10.0,0.0,4.0,8.0,3.0,8.0,2.0,16.0,47.0,0.0,7.0,4.0,0.0,7.0,0.0,9.0,12.0,25.0,1.0,2.0,0.0,0.0,0.0,45.0,0.0,4.0,15.0,8.0,21.0,0.0
Spain,3.0,11.0,9.0,6.0,1.0,0.0,7.0,35.0,8.0,9.0,20.0,0.0,11.0,26.0,39.0,0.0,6.0,2.0,0.0,8.0,15.0,43.0,55.0,0.0,5.0,0.0,3.0,14.0,0.0,10.0,0.0,23.0,18.0,21.0,29.0,10.0,3.0,7.0,0.0,0.0,36.0,23.0,55.0,9.0
Sweden,7.0,2.0,28.0,7.0,3.0,0.0,24.0,19.0,21.0,5.0,12.0,29.0,37.0,76.0,17.0,0.0,5.0,10.0,4.0,23.0,4.0,51.0,16.0,0.0,31.0,0.0,4.0,9.0,0.0,12.0,2.0,55.0,43.0,12.0,9.0,8.0,0.0,25.0,0.0,3.0,0.0,21.0,44.0,6.0
Switzerland,64.0,6.0,13.0,10.0,0.0,0.0,0.0,20.0,24.0,2.0,0.0,5.0,2.0,15.0,20.0,0.0,9.0,17.0,0.0,6.0,0.0,39.0,66.0,1.0,4.0,3.0,0.0,12.0,0.0,9.0,2.0,15.0,4.0,36.0,11.0,0.0,0.0,37.0,0.0,11.0,20.0,0.0,24.0,5.0
Ukraine,6.0,10.0,5.0,9.0,13.0,8.0,6.0,8.0,26.0,4.0,18.0,15.0,14.0,26.0,24.0,6.0,5.0,1.0,5.0,14.0,8.0,19.0,24.0,23.0,60.0,3.0,2.0,52.0,0.0,9.0,0.0,46.0,35.0,14.0,25.0,16.0,0.0,3.0,0.0,1.0,17.0,27.0,0.0,12.0
United Kingdom,8.0,0.0,26.0,0.0,3.0,0.0,9.0,46.0,12.0,23.0,13.0,8.0,8.0,31.0,7.0,0.0,3.0,7.0,1.0,18.0,32.0,44.0,5.0,15.0,69.0,1.0,9.0,25.0,0.0,4.0,0.0,33.0,53.0,8.0,35.0,7.0,3.0,7.0,0.0,11.0,31.0,13.0,37.0,0.0
